Vin_V;Fsw_kHz;Vout_mean_V;Vout_max_steady_V;Vout_min_steady_V;Ripple_percent;Overshoot_percent;Static_error_V;Static_error_percent
255.0;150.0;29.299221;29.767302;29.043493;2.470401;30.80005645751953;1.299221;4.640075
255.0;155.0;28.685442;29.120956;28.40906;2.481736;43.259525299072266;0.685442;2.448007
255.0;170.0;27.145636;27.442333;26.890299;2.0336027;50.20899200439453;0.8543644;3.0513015
255.0;179.0;26.42239;26.642662;26.15005;1.8643764;61.38235855102539;1.57761;5.6343217
255.0;180.0;26.341648;26.560263;26.071526;1.8553779;61.635292053222656;1.6583519;5.922685
255.0;185.0;25.939672;26.146887;25.661041;1.8729826;62.85991668701172;2.0603275;7.3583126
255.0;190.0;25.545925;25.747425;25.265068;1.8881956;62.14186477661133;2.4540749;8.764553
255.0;195.0;25.17752;25.37966;24.898333;1.9117333;59.80148315429688;2.8224792;10.080283
255.0;200.0;24.817266;25.010885;24.524006;1.9618573;54.52127456665039;3.1827335;11.366905
255.0;205.0;24.441885;24.648699;24.143766;2.0658488;46.68774032592773;3.558115;12.707554
255.0;210.0;24.074747;24.273327;23.794596;1.9885199;37.36090087890625;3.925253;14.018761
255.0;215.0;23.738735;23.944065;23.469196;2.0003963;27.122211456298828;4.261265;15.218803
270.0;150.0;31.083645;31.58108;30.798742;2.5168772;46.67975616455078;3.0836449;11.013018
270.0;155.0;30.42013;30.846312;30.165909;2.236686;40.10787582397461;2.4201298;8.643321
270.0;170.0;28.796534;29.098007;28.520195;2.0065339;59.43737030029297;0.7965336;2.8447628
270.0;179.0;28.03029;28.269747;27.755135;1.8359145;71.10613250732422;0.030290604;0.10818073
270.0;180.0;27.947021;28.165934;27.6692;1.7774085;71.42249298095703;0.052978516;0.18920898
270.0;185.0;27.52193;27.748009;27.211355;1.9499123;72.71400451660156;0.4780693;1.7073903
270.0;190.0;27.111254;27.315138;26.81643;1.8394897;72.12193298339844;0.88874626;3.1740937
270.0;195.0;26.711414;26.901337;26.426376;1.7781175;69.41226959228516;1.2885857;4.602092
270.0;200.0;26.325478;26.529404;26.028349;1.9033074;63.98898315429688;1.6745224;5.9804373
270.0;205.0;25.929848;26.143938;25.620272;2.0195506;55.532711029052734;2.0701523;7.393401
270.0;210.0;25.544601;25.766102;25.244843;2.040585;45.715126037597656;2.4553986;8.76928
270.0;215.0;25.190718;25.414593;24.898247;2.049747;45.351749420166016;2.8092823;10.033151
285.0;155.0;32.16688;32.639168;31.878489;2.36479;60.34203720092773;4.1668816;14.88172
285.0;170.0;30.445583;30.754797;30.17386;1.908114;68.53500366210938;2.4455833;8.734226
285.0;179.0;29.63488;29.901892;29.321827;1.9573718;80.79532623291016;1.6348801;5.838857
